Tamanho da Mensagem;Tempo de Resposta
73046;1,016261933
67761;1,009187126
2492;1,018517305
36284;1,010122753
61423;1,01286552
40938;1,010794622
80657;1,010884727
58826;1,010734985
98743;1,012774578
11040;1,014036762
98809;1,012705831
30376;1,011671317
21665;1,00995884
96505;1,011324162
57262;1,011316152
3561;1,009877722
21503;1,010732984
85344;1,013660759
5466;1,010922627
33879;1,012228871
42435;1,009970187
60442;1,012246868
82576;1,00925971
69576;1,011172691
92091;1,012639822
91915;1,011438768
25133;1,012149881
11953;1,009358292
75821;1,009150101
71248;1,011311835
26289;1,010919075
89299;1,010021631
56116;1,008722514
70533;1,014298861
86821;1,010775862
28122;1,01354375
21267;1,007549138
1138;1,007106844
33197;1,011989355
95708;1,009228962
63751;1,011177655
51767;1,011911473
68904;1,008952321
21034;1,007978534
20176;1,007533348
9985;1,011623044
94199;1,009266369
84049;1,017602788
81612;1,012021862
42175;1,010898032
