Tamanho da Mensagem;Tempo de Resposta
22747;1,023699984
95131;1,016827221
98764;1,018380647
10146;1,017683956
21841;1,021236029
33820;1,019015139
84520;1,016355318
95464;1,015851003
83986;1,015074399
26202;1,017451247
94369;1,014313924
1632;1,019129721
27557;1,015994136
69598;1,022147989
73442;1,014431339
71053;1,017570163
59540;1,011178011
88553;1,016218746
6073;1,013290674
8579;1,014007419
60967;1,01874422
42580;1,017668564
92722;1,01813158
98620;1,012746895
20304;1,016449816
84091;1,019940978
2473;1,018245883
51671;1,017878955
98358;1,015350443
61365;1,022500438
43423;1,010869358
48226;1,017397846
3533;1,013467305
1037;1,014088303
40323;1,017968409
63621;1,018403147
73672;1,016231618
68620;1,017870513
61135;1,017942172
64952;1,020036612
66999;1,01725268
30513;1,013466816
82746;1,016966416
52030;1,018252017
48110;1,019813207
18879;1,016022787
92642;1,017988906
98587;1,016527652
9546;1,016922126
76040;1,017231552
