Tamanho da Mensagem;Tempo de Resposta
74884;1,023878249
55383;1,016901402
61426;1,023573061
91233;1,016809459
98608;1,016626428
77430;1,019867702
87129;1,014702058
79351;1,016692403
93867;1,014922318
88232;1,015811846
98803;1,014442864
33836;1,016203129
4023;1,012075056
77534;1,013370886
48497;1,019843212
60578;1,014668225
47308;1,017975632
1942;1,016035423
29200;1,015099678
20195;1,016463728
38132;1,01353619
97947;1,013445835
7201;1,016678297
12787;1,016763036
72807;1,01645802
16443;1,018154177
58883;1,013476236
53060;1,015862235
53851;1,015653956
8705;1,014407527
36511;1,011123752
41263;1,015279448
22390;1,016994421
98249;1,013572814
4050;1,01691391
29675;1,012957115
41390;1,016005271
51608;1,014201236
31319;1,015289845
62731;1,016150245
79549;1,012529158
68955;1,014376785
24376;1,016352016
83780;1,017331899
51352;1,013282569
48783;1,022355143
24562;1,011741213
99763;1,017506864
42802;1,013312594
56967;1,009249556
