Tamanho da Mensagem;Tempo de Resposta
67831;1,020866467
36250;1,012069274
19173;1,013349639
34509;1,014817099
5197;1,04205618
37295;1,013355541
58085;1,012975669
9977;1,017671343
22658;1,015068023
77447;1,015151948
29073;1,015190186
27380;1,015280627
77993;1,00774731
8887;1,017577874
50938;1,010035987
42654;1,01529021
48692;1,011225023
99967;1,013301789
58931;1,011122378
10622;1,010798557
42640;1,011396883
25711;1,011042701
76943;1,011366341
39105;1,012954481
88098;1,0134267
85485;1,012026483
42994;1,012913483
36742;1,01408373
98678;1,012803141
68902;1,013122071
7853;1,012358504
31112;1,015171856
15176;1,011315612
11553;1,013004462
82016;1,01331838
36016;1,012885826
72167;1,012190884
45337;1,009059265
98013;1,013298778
83153;1,010892574
65188;1,012253126
31557;1,011085537
50980;1,011116461
29809;1,010676059
22630;1,013118696
96232;1,01325618
13212;1,013490592
29327;1,013963267
71633;1,015841575
22422;1,008289232
