Tamanho da Mensagem;Tempo de Resposta;;
20871;13,019462484;;
78269;38,052467573;;21,40min
27472;15,019718319;;
88165;45,024114748;;
87124;45,023312086;;
41467;23,022602572;;
35310;18,020769107;;
33253;20,018430902;;
48949;28,02080878;;
29188;17,019854911;;
95285;49,052828161;;
58469;31,04126014;;
38498;21,028443359;;
2294;4,024700946;;
55665;29,038542006;;
13082;9,023139229;;
12776;9,016287046;;
38985;21,042398361;;
14315;9,017193911;;
29354;17,060726197;;
23332;15,029255942;;
60088;32,015194465;;
51637;27,025039541;;
43361;22,023500571;;
73660;39,077127422;;
93132;48,022380158;;
94870;48,044091816;;
3976;5,017805268;;
77581;39,03994925;;
1018;4,032119977;;
45222;25,024651786;;
82889;42,019932835;;
65742;35,023947501;;
29547;17,019779251;;
73190;38,0198882;;
45191;23,031912737;;
39645;22,018562311;;
84651;45,022977429;;
14845;10,031062195;;
20626;12,021013983;;
65633;33,026305465;;
91750;47,02070285;;
32266;17,014271575;;
40502;22,019459767;;
3748;5,016823319;;
23609;13,024438765;;
78767;42,034984985;;
61862;33,033777799;;
20349;11,046903644;;
78873;40,028911915;;
